A_qseqid	A_evalue	B_qseqid	B_evalue	AB_qseqid	A_evalue	B_evalue	Escolha
TRINITY_DN23592_c0_g2_i3	2.1e-56	TRINITY_DN828_c0_g1_i17	9.72e-151	TRINITY_DN7610_c0_g3_i5	2e-80	1.27e-46	A
TRINITY_DN23841_c0_g2_i1	4.81e-85	TRINITY_DN1449_c0_g1_i2	1.54e-36	TRINITY_DN8349_c0_g1_i1	6.42e-65	1.01e-56	A
TRINITY_DN24093_c0_g1_i1	8.69e-54	TRINITY_DN1568_c0_g1_i3	3.69e-32	TRINITY_DN9870_c1_g3_i2	6.15e-60	6.69e-41	A
TRINITY_DN24335_c0_g6_i1	0.0	TRINITY_DN1682_c0_g1_i2	2.65e-37	TRINITY_DN9870_c1_g3_i1	4.27e-125	1e-79	A
TRINITY_DN25276_c0_g1_i7	2.23e-79	TRINITY_DN1682_c0_g1_i17	2.6e-63	TRINITY_DN11528_c0_g2_i5	7.89e-145	1.59e-69	A
TRINITY_DN25426_c0_g3_i2	3.36e-34	TRINITY_DN1682_c0_g1_i15	2.14e-37	TRINITY_DN11528_c0_g2_i6	1.17e-76	4.29e-42	A
TRINITY_DN25404_c0_g2_i2	9.72e-121	TRINITY_DN1682_c0_g1_i12	3.52e-37	TRINITY_DN14541_c1_g4_i1	1.45e-68	8.03e-61	A
TRINITY_DN26122_c0_g1_i4	1.27e-34	TRINITY_DN1809_c0_g1_i6	0.0	TRINITY_DN15271_c0_g1_i1	0.0	2.79e-94	A
TRINITY_DN26122_c0_g1_i2	1.07e-39	TRINITY_DN1809_c0_g1_i2	2.08e-66	TRINITY_DN15674_c0_g7_i2	1.85e-60	6.47e-62	B
TRINITY_DN27527_c0_g1_i1	5.32e-49	TRINITY_DN2287_c0_g1_i4	6.35e-71	TRINITY_DN15674_c0_g3_i1	9.68e-83	6.74e-75	A
TRINITY_DN27527_c0_g1_i2	3.73e-45	TRINITY_DN2287_c0_g1_i7	2.04e-55	TRINITY_DN15793_c0_g3_i2	0.0	8.48e-78	A
TRINITY_DN28611_c0_g1_i2	7.62e-52	TRINITY_DN2287_c0_g1_i1	2.61e-71	TRINITY_DN16739_c1_g2_i3	1.13e-77	5.9e-74	A
TRINITY_DN28751_c0_g2_i1	8.44e-91	TRINITY_DN2287_c0_g1_i2	2.32e-76	TRINITY_DN16739_c1_g1_i2	2.47e-36	1.45e-34	A
TRINITY_DN29318_c0_g7_i1	1.16e-112	TRINITY_DN2287_c0_g1_i3	5.18e-73	TRINITY_DN17033_c1_g1_i1	7.19e-71	1.87e-46	A
TRINITY_DN29802_c0_g1_i5	4.72e-39	TRINITY_DN2287_c0_g1_i16	1e-74	TRINITY_DN18733_c0_g1_i4	3.21e-79	1.27e-41	A
TRINITY_DN31600_c0_g4_i1	2.57e-63	TRINITY_DN2287_c0_g1_i15	4.65e-70	TRINITY_DN18746_c0_g1_i2	1.64e-49	1.75e-50	B
TRINITY_DN31600_c0_g3_i3	2.7e-93	TRINITY_DN2287_c0_g1_i12	7.98e-73	TRINITY_DN31600_c0_g3_i1	3.3e-56	2.71e-47	A
TRINITY_DN31612_c0_g2_i2	1.62e-49	TRINITY_DN2287_c0_g1_i13	6.22e-65	TRINITY_DN31750_c0_g2_i3	3.9e-47	5.31e-38	A
TRINITY_DN31750_c0_g2_i5	3.48e-73	TRINITY_DN2287_c0_g1_i10	9.82e-93	TRINITY_DN33957_c0_g1_i2	2.42e-43	3.14e-72	B
TRINITY_DN31750_c0_g2_i6	1.59e-46	TRINITY_DN2287_c0_g1_i11	5.52e-76	TRINITY_DN41258_c0_g7_i2	1.39e-106	7.12e-50	A
TRINITY_DN31941_c0_g1_i2	1.07e-102	TRINITY_DN2554_c0_g1_i4	2.91e-40	TRINITY_DN44934_c0_g4_i1	3.64e-61	1.24e-41	A
TRINITY_DN32015_c0_g2_i1	1.44e-125	TRINITY_DN2537_c0_g1_i5	2.29e-117	TRINITY_DN55711_c0_g1_i5	7.6e-53	1.89e-85	B
TRINITY_DN32413_c0_g1_i6	6.09e-48	TRINITY_DN2537_c0_g2_i1	4.52e-54	TRINITY_DN55711_c0_g1_i1	2.49e-32	5.82e-57	B
TRINITY_DN32984_c0_g1_i1	5.25e-50	TRINITY_DN2637_c0_g1_i1	1.65e-88				
TRINITY_DN33957_c0_g1_i4	4.54e-97	TRINITY_DN2765_c0_g1_i4	3.23e-100				
TRINITY_DN33957_c0_g1_i5	4.03e-97	TRINITY_DN2765_c0_g1_i9	1.83e-55				
TRINITY_DN36432_c0_g1_i2	5.11e-95	TRINITY_DN2765_c0_g1_i12	7.61e-48				
TRINITY_DN38274_c0_g4_i2	1.56e-75	TRINITY_DN3087_c1_g1_i2	3.51e-33				
TRINITY_DN41258_c0_g7_i1	2.16e-87	TRINITY_DN3951_c0_g2_i2	1.43e-93				
TRINITY_DN41910_c0_g5_i1	2.53e-55	TRINITY_DN5330_c0_g1_i4	3.49e-33				
TRINITY_DN42400_c0_g2_i1	2.17e-106	TRINITY_DN5980_c0_g4_i2	1.23e-40				
TRINITY_DN44934_c0_g4_i3	8.51e-45	TRINITY_DN6035_c1_g1_i1	1.04e-49				
TRINITY_DN45196_c0_g1_i1	6.89e-47	TRINITY_DN6035_c1_g1_i3	2.74e-49				
TRINITY_DN47836_c0_g1_i1	0.0	TRINITY_DN6509_c0_g2_i1	4.98e-93				
TRINITY_DN47809_c0_g6_i1	1.33e-100	TRINITY_DN7401_c0_g1_i4	7.15e-111				
TRINITY_DN47914_c1_g1_i1	1.87e-53	TRINITY_DN7401_c0_g1_i3	7.3e-65				
TRINITY_DN48895_c0_g1_i2	8.92e-75	TRINITY_DN7610_c0_g3_i5	1.27e-46				
TRINITY_DN53407_c0_g1_i2	9.92e-36	TRINITY_DN7800_c0_g1_i10	8.87e-33				
TRINITY_DN53407_c0_g1_i3	1.74e-109	TRINITY_DN8349_c0_g1_i1	1.01e-56				
TRINITY_DN55711_c0_g1_i4	1.35e-53	TRINITY_DN9870_c1_g3_i2	6.69e-41				
TRINITY_DN57147_c0_g1_i3	4.82e-74	TRINITY_DN9870_c1_g3_i1	1e-79				
TRINITY_DN57795_c0_g1_i1	1.15e-44	TRINITY_DN11528_c0_g2_i5	1.59e-69				
TRINITY_DN61914_c0_g4_i1	1.14e-75	TRINITY_DN11528_c0_g2_i6	4.29e-42				
TRINITY_DN62524_c1_g4_i1	9.59e-85	TRINITY_DN14541_c1_g4_i1	8.03e-61				
TRINITY_DN67049_c0_g1_i1	4.02e-34	TRINITY_DN15271_c0_g1_i1	2.79e-94				
TRINITY_DN71695_c0_g1_i1	1.19e-61	TRINITY_DN15216_c0_g1_i4	7.49e-31				
TRINITY_DN79280_c0_g1_i1	1.03e-98	TRINITY_DN15674_c0_g7_i2	6.47e-62				
TRINITY_DN80777_c0_g1_i1	1.86e-85	TRINITY_DN15674_c0_g3_i1	6.74e-75				
TRINITY_DN89806_c0_g2_i1	2.53e-82	TRINITY_DN15793_c0_g3_i2	8.48e-78				
TRINITY_DN90930_c0_g1_i3	2.23e-47	TRINITY_DN16739_c1_g2_i3	5.9e-74				
TRINITY_DN94547_c1_g1_i1	1.42e-92	TRINITY_DN16739_c1_g1_i2	1.45e-34				
TRINITY_DN97737_c0_g1_i2	3.17e-80	TRINITY_DN17033_c1_g1_i1	1.87e-46				
TRINITY_DN178272_c0_g1_i1	1.02e-157	TRINITY_DN18733_c0_g1_i4	1.27e-41				
TRINITY_DN178796_c0_g1_i1	1.14e-67	TRINITY_DN18746_c0_g1_i2	1.75e-50				
TRINITY_DN192169_c0_g1_i1	3.96e-39	TRINITY_DN31600_c0_g3_i1	2.71e-47				
TRINITY_DN219694_c0_g1_i1	1.22e-48	TRINITY_DN31750_c0_g2_i3	5.31e-38				
TRINITY_DN62_c0_g1_i13	0.0	TRINITY_DN33957_c0_g1_i2	3.14e-72				
TRINITY_DN183_c0_g1_i12	7.33e-134	TRINITY_DN41258_c0_g7_i2	7.12e-50				
TRINITY_DN237_c0_g1_i5	1.78e-108	TRINITY_DN44934_c0_g4_i1	1.24e-41				
TRINITY_DN237_c0_g1_i6	2.33e-42	TRINITY_DN55711_c0_g1_i5	1.89e-85				
TRINITY_DN237_c0_g1_i9	3.69e-96	TRINITY_DN55711_c0_g1_i1	5.82e-57				
TRINITY_DN764_c0_g1_i4	9.9e-141						
TRINITY_DN764_c0_g1_i7	4.04e-153						
TRINITY_DN764_c0_g1_i2	9.08e-83						
TRINITY_DN764_c0_g1_i3	7.28e-43						
TRINITY_DN764_c0_g1_i9	7.09e-33						
TRINITY_DN745_c0_g1_i3	1.22e-88						
TRINITY_DN828_c0_g1_i1	0.0						
TRINITY_DN828_c0_g1_i17	0.0						
TRINITY_DN922_c1_g2_i2	6.59e-126						
TRINITY_DN922_c1_g2_i7	5.66e-126						
TRINITY_DN1245_c0_g1_i7	0.0						
TRINITY_DN1245_c0_g1_i3	2.55e-103						
TRINITY_DN1343_c0_g1_i7	3.17e-34						
TRINITY_DN1449_c0_g1_i2	3.07e-41						
TRINITY_DN1568_c0_g1_i3	4.84e-69						
TRINITY_DN1542_c0_g5_i4	7.7e-79						
TRINITY_DN1682_c0_g1_i2	3.24e-47						
TRINITY_DN1682_c0_g1_i17	3.2e-117						
TRINITY_DN1682_c0_g1_i15	2.37e-52						
TRINITY_DN1682_c0_g1_i12	4.32e-47						
TRINITY_DN1809_c0_g1_i6	0.0						
TRINITY_DN1809_c0_g1_i2	4.16e-70						
TRINITY_DN2067_c0_g1_i3	1.79e-47						
TRINITY_DN2067_c0_g1_i8	8.26e-79						
TRINITY_DN2067_c0_g1_i9	6.37e-84						
TRINITY_DN2067_c0_g1_i18	2.79e-51						
TRINITY_DN2067_c0_g1_i19	4.26e-36						
TRINITY_DN2067_c0_g1_i16	9.19e-34						
TRINITY_DN2067_c0_g1_i17	1.58e-104						
TRINITY_DN2067_c0_g1_i15	7.07e-35						
TRINITY_DN2067_c0_g1_i13	9.07e-77						
TRINITY_DN2554_c0_g1_i4	2.12e-155						
TRINITY_DN2537_c0_g1_i5	1.87e-113						
TRINITY_DN2537_c0_g2_i1	8.33e-56						
TRINITY_DN2637_c0_g1_i1	1.64e-158						
TRINITY_DN2757_c0_g1_i5	4.98e-122						
TRINITY_DN2757_c0_g1_i10	3.01e-49						
TRINITY_DN2765_c0_g4_i2	3.18e-77						
TRINITY_DN2765_c0_g1_i4	0.0						
TRINITY_DN2765_c0_g1_i9	0.0						
TRINITY_DN2765_c0_g1_i12	6.04e-115						
TRINITY_DN2890_c0_g1_i1	4.06e-59						
TRINITY_DN3951_c0_g2_i2	1.18e-98						
TRINITY_DN5180_c0_g1_i1	1.77e-78						
TRINITY_DN5330_c0_g1_i4	5.44e-74						
TRINITY_DN5980_c0_g4_i2	4.76e-111						
TRINITY_DN6035_c1_g1_i1	8.81e-113						
TRINITY_DN6035_c1_g1_i3	1.55e-106						
TRINITY_DN6035_c1_g1_i2	2.34e-38						
TRINITY_DN6509_c0_g2_i1	3.54e-117						
TRINITY_DN7401_c0_g1_i4	1.44e-172						
TRINITY_DN7401_c0_g1_i3	2.59e-92						
TRINITY_DN7610_c0_g3_i5	2e-80						
TRINITY_DN7619_c0_g1_i1	1.05e-60						
TRINITY_DN8349_c0_g1_i1	6.42e-65						
TRINITY_DN9717_c0_g1_i3	4.77e-48						
TRINITY_DN9870_c1_g3_i2	6.15e-60						
TRINITY_DN9870_c1_g3_i1	4.27e-125						
TRINITY_DN9816_c0_g1_i5	2.98e-33						
TRINITY_DN9816_c0_g1_i1	8.87e-34						
TRINITY_DN10756_c0_g3_i3	9.21e-158						
TRINITY_DN11073_c0_g1_i2	1.13e-73						
TRINITY_DN11406_c0_g1_i5	4.76e-100						
TRINITY_DN11528_c0_g2_i5	7.89e-145						
TRINITY_DN11528_c0_g2_i6	1.17e-76						
TRINITY_DN12808_c0_g1_i2	3.81e-36						
TRINITY_DN13994_c1_g1_i3	1.4e-35						
TRINITY_DN13994_c1_g1_i2	3.81e-53						
TRINITY_DN14156_c0_g1_i1	1.04e-43						
TRINITY_DN14463_c1_g2_i1	2.43e-69						
TRINITY_DN14541_c1_g4_i1	1.45e-68						
TRINITY_DN15271_c0_g1_i1	0.0						
TRINITY_DN15674_c0_g7_i2	1.85e-60						
TRINITY_DN15674_c0_g3_i1	9.68e-83						
TRINITY_DN15793_c0_g3_i2	0.0						
TRINITY_DN16191_c0_g1_i1	1.63e-35						
TRINITY_DN16739_c1_g2_i3	1.13e-77						
TRINITY_DN16739_c1_g1_i2	2.47e-36						
TRINITY_DN17033_c1_g1_i1	7.19e-71						
TRINITY_DN18733_c0_g1_i4	3.21e-79						
TRINITY_DN18746_c0_g1_i2	1.64e-49						
TRINITY_DN21789_c1_g2_i1	7.54e-94						
TRINITY_DN23592_c0_g2_i2	4.49e-41						
TRINITY_DN23683_c0_g1_i4	2.25e-56						
TRINITY_DN23683_c0_g1_i2	4.04e-73						
TRINITY_DN27527_c0_g1_i3	3.27e-37						
TRINITY_DN28611_c0_g1_i1	2.01e-57						
TRINITY_DN31600_c0_g3_i1	3.3e-56						
TRINITY_DN31750_c0_g2_i3	3.9e-47						
TRINITY_DN31941_c0_g1_i5	2.06e-38						
TRINITY_DN31941_c0_g1_i3	4.33e-38						
TRINITY_DN33957_c0_g1_i2	2.42e-43						
TRINITY_DN35823_c0_g2_i5	2.04e-68						
TRINITY_DN35823_c0_g2_i4	2.77e-126						
TRINITY_DN38274_c0_g4_i3	2.39e-78						
TRINITY_DN38274_c0_g4_i4	2.04e-67						
TRINITY_DN41258_c0_g7_i2	1.39e-106						
TRINITY_DN44934_c0_g4_i1	3.64e-61						
TRINITY_DN55711_c0_g1_i5	7.6e-53						
TRINITY_DN55711_c0_g1_i1	2.49e-32						
