A_qseqid	A_evalue	B_qseqid	B_evalue	AB_qseqid	A_evalue	B_evalue	Escolha
TRINITY_DN22136_c0_g2_i12	3.88e-84						
TRINITY_DN22136_c0_g2_i8	1.2e-65						
TRINITY_DN22136_c0_g2_i1	3.06e-66						
TRINITY_DN22136_c0_g2_i3	9.68e-66						
TRINITY_DN24079_c0_g1_i1	1.84e-53						
TRINITY_DN28374_c1_g2_i1	7.18e-57						
TRINITY_DN28374_c1_g2_i3	1.96e-47						
TRINITY_DN28401_c0_g3_i8	1.12e-55						
TRINITY_DN28401_c0_g3_i7	9.24e-94						
TRINITY_DN30043_c0_g1_i4	2.57e-56						
TRINITY_DN33983_c0_g1_i5	1.61e-53						
TRINITY_DN33983_c0_g1_i2	1.21e-49						
TRINITY_DN40553_c0_g1_i2	6.87e-36						
TRINITY_DN53005_c0_g1_i1	3e-73						
TRINITY_DN53346_c0_g2_i2	7.53e-74						
TRINITY_DN72771_c0_g1_i4	0.0						
TRINITY_DN72771_c0_g1_i2	0.0						
